question,answer-1,answer-2,answer-3,answer-4,answer-5,answer-6,answer-7
I don't feel particularly pleased with the way I am,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I am intensely interested in other people,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I feel that life is very rewarding,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I have very warm feelings towards almost everyone,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I rarely wake up feeling rested,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I am not particularly optimistic about the future,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I find most things amusing,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I am always committed and involved,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
Life is good,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I don't think that the world is a good place,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I laugh a lot,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,Strongly Agree2
I am well satisfied about everything in my life,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I don't think I look attractive,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
There is a gap between what I would like to do and what I have done,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I am very happy,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I find beauty in some things,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I always have a cheerful effect on others,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I can fit in everything I want to,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I feel that I am not especially in control of my life,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I feel able to take anything on,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I feel fully mentally alert,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I often experience joy and elation,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I do not find it easy to make decisions,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I feel I have a great deal of energy,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I usually have a good influence on events,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I do not have fun with other people,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I don't feel particularly healthy,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
I do not have particularly happy memories of the past,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Strongly Agree,undefined
